Title,Domain,Branch,Type,Price,Description,ImageURL,DemoVideoURL,Tags,Featured
AI IoT Hydroponics Smart Farming System,IoT,ECE,Product,18500,Autonomous hydroponics sensor system with real-time nutrient balancing and cloud analytics.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Hydroponics, IoT, ECE, Sensors",FALSE
Real-time Forest Fire Detection and Alert System Using Wireless Sensor N+etworks and Solar Energy,Simulation,EEE,Prototype,26813,Project focusing on real-time forest fire detection and alert system using wireless sensor n+etworks and solar energy.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation,  EEE",FALSE
An Active Impedance-Source Three-Level   T-Type Inverter with Reduced Device Count,Machine Learning,EEE,Product,8613,Project focusing on an active impedance-source three-level   t-type inverter with reduced device count.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning,  EEE",FALSE
A MHz -to-VIN Buck-Boost Converter for Automotive Use Achieving % Efficiency and CISPR  Class  Standard,Robotics,Civil,Prototype,11091,Project focusing on a mhz -to-vin buck-boost converter for automotive use achieving % efficiency and cispr  class  standard.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics,  Civil",FALSE
A Power Factor Oriented Railway Power Flow Controller for  Power Quality Improvement in  Electrical Railway Power System,Machine Learning,EEE,Product,8388,Project focusing on a power factor oriented railway power flow controller for  power quality improvement in  electrical railway power system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning,  EEE",FALSE
Development of Central Control Unit for Irrigation water pumps  Cost effective method to control entire villager’s water pumps with user level authentication Illiterate’s friendly system,IoT,ECE,Product,32886,Project focusing on development of central control unit for irrigation water pumps  cost effective method to control entire villager’s water pumps with user level authentication illiterate’s friendly system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT,  ECE",FALSE
Fabrication of Steam Power Plant with  generators,IoT,EEE,Product,22649,Project focusing on fabrication of steam power plant with  generators.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT,  EEE",FALSE
"Auto Selection of Optimum Power From  Different Sources-Solar, Mains, Generator & Inverter To Ensure No Break Power",Machine Learning,EEE,Product,33360,"Project focusing on auto selection of optimum power from  different sources-solar, mains, generator & inverter to ensure no break power.",ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning,  EEE",FALSE
Voice enabled V lamp dimmer with  levels of intensity control,Robotics,Medical,Prototype,24815,Project focusing on voice enabled v lamp dimmer with  levels of intensity control.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics,  Medical",FALSE
RF Based Wireless  Phase Motor Starter with feedback indicators,Simulation,Mechanical,Product,33276,Project focusing on rf based wireless  phase motor starter with feedback indicators.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation,  Mechanical",FALSE
